av_infections_4,sd_infections_4,av_susceptible_4,sd_susceptible_4,av_recovered_4,sd_recovered_4,av_infections_6,sd_infections_6,av_susceptible_6,sd_susceptible_6,av_recovered_6,sd_recovered_6,av_infections_8,sd_infections_8,av_susceptible_8,sd_susceptible_8,av_recovered_8,sd_recovered_8,av_infections_12,sd_infections_12,av_susceptible_12,sd_susceptible_12,av_recovered_12,sd_recovered_12,av_infections_15,sd_infections_15,av_susceptible_15,sd_susceptible_15,av_recovered_15,sd_recovered_15,time
861.1,222.82651448056077,7569.0,517.6262057594156,89.4,29.094482103809458,431.0,176.3601113882867,8725.4,426.4690167201156,45.7,22.88157919958032,309.8,110.55496370584181,9143.2,279.30540830981255,41.6,13.125039682479693,200.7,47.19710443095707,9497.1,105.4982358988897,30.2,6.696599468718765,147.9,26.954488391443167,9650.5,61.60853115528004,20.3,4.808557187163549,10
1126.5,266.9973990718095,7036.3,591.4466351432073,138.6,46.140365552662594,579.9,208.89255611438145,8384.0,536.9632720731983,69.2,33.24588529260259,399.2,129.18703065280542,8948.8,329.8062731025257,61.4,23.238856349752766,249.6,58.46594450333174,9401.6,129.41938717896085,42.7,8.380532998165053,177.5,34.16382101970836,9595.8,77.1215490854102,31.1,4.653553003411002,11
1422.3,312.17340266802574,6449.8,644.5770016926691,206.6,68.42709015197612,755.4,262.4577002955799,8014.0,598.7310655786025,104.8,47.59971988713098,501.3,164.61608534877618,8731.8,366.91954915969734,88.0,32.4585205386129,301.4,71.02925844717483,9298.4,149.28734410897366,60.0,13.165611772087667,204.9,44.50330824157284,9530.3,92.11472315662802,43.0,5.557777333511022,12
1750.9,339.317435776917,5812.6,703.4753727032667,300.5,89.6936142902294,941.6,303.1362729862594,7634.0,694.261558140094,152.5,68.32642241475841,605.2,190.85293931308587,8508.9,407.55870742753126,119.7,42.552059618516445,354.5,83.4535799112297,9190.0,170.87552324556154,83.1,17.31056196533075,238.4,52.04741428095476,9461.2,103.54687612649431,56.7,6.8158312446506155,13
2097.3,378.5522274256075,5158.1,721.5206857741501,419.9,117.76289738283447,1159.6,357.65476836375797,7169.0,827.4081352163648,212.1,91.10122575099268,721.8,211.9354199331066,8271.1,446.7936262352502,162.2,56.92841508811259,407.8,96.14895850825542,9074.9,202.7321440280801,108.4,22.32686473486344,269.3,59.86661098735347,9384.7,119.19363331244762,76.0,10.666666666666666,14
2450.3,395.2827539313542,4530.8,758.2458997214851,571.7,151.92033731166111,1389.3,420.5377641914113,6699.9,973.762285616407,287.3,111.42915038514633,848.5,235.80417958787564,8028.6,496.5604360666149,217.1,73.98565927108967,465.9,108.91734888845252,8944.9,223.3126607347744,139.4,28.933640551364352,308.5,68.17990906418107,9300.1,134.9752652237521,95.1,14.090579989640045,15
2792.3,424.6072826088178,3908.1,814.4484773281993,753.6,180.23762093414348,1631.5,482.93851690573524,6193.8,1130.5904848549028,388.4,140.8665246883651,966.7,257.8656196118005,7771.0,563.4814400965956,283.3,95.41959966380074,524.2,114.85817341399783,8807.2,268.92039301209155,176.1,37.361447747347505,351.9,75.3413712526008,9219.5,144.0757902401834,120.5,15.785013990068766,16
3120.4,434.41843627748784,3263.9,840.4535085297699,970.0,210.25962786781278,1889.5,571.2125990673992,5671.0,1297.2316678219045,510.7,175.7814615430826,1092.7,285.22118122997495,7508.0,633.455426827948,360.7,116.82755572970693,590.6,131.72125450696592,8665.8,301.03111688550297,213.5,46.22949996124408,390.0,80.6831938992116,9132.3,162.3268650319814,147.3,23.874905468108373,17
3434.9,459.83462002961215,2655.0,819.3836436954032,1219.8,240.9268215316288,2156.5,663.7111570555372,5201.1,1411.112047681229,657.7,210.06403785512646,1230.1,314.73179057731045,7228.9,672.327045087103,447.2,133.5238638679327,653.7,149.91260416952568,8514.2,313.1328436586903,264.3,55.94848821311737,430.3,89.01441830774758,9037.6,189.80001170823053,178.6,27.825647641459607,18
3712.1,450.70129304846193,2048.0,815.5513472492091,1516.8,270.33263460657747,2406.9,753.9785511243377,4727.1,1539.722229638984,825.4,248.48617220637806,1364.6,346.4483928219164,6921.4,735.0462116991921,550.8,155.11415151429608,720.7,160.87196427248873,8368.4,342.37510293698506,319.2,64.93210128879072,472.2,98.23418730541599,8935.8,210.070781722098,214.1,36.48881107042724,19
