time,cell,location_x,location_y,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead
5.0,8730986224125,0.629028022831535,0.2748650776569722,4671,16,2,13,2,0,0,0,3,0
5.0,8730986229538,0.17031764792621706,0.4687942992573725,4789,8,1,5,1,0,0,0,10,0
5.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,6,3,12,1,0,0,0,10,0
5.0,8730986229604,0.14046963109556754,0.8337599139019943,4720,17,2,13,3,0,0,0,7,0
5.0,8730986229637,0.43814945488742074,0.9116226790930436,4605,7,0,10,1,0,0,0,3,0
5.0,8730986229670,0.8467976790275037,0.425615265214516,4651,20,2,15,3,0,0,0,4,0
6.0,8730986250623,0.6724354047312854,0.24828321183968183,4725,6,3,10,4,0,0,0,6,0
6.0,8730986224125,0.629028022831535,0.2748650776569722,4671,14,4,9,2,0,0,0,7,0
6.0,8730986229538,0.17031764792621706,0.4687942992573725,4787,8,1,7,1,0,0,0,10,0
6.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,6,3,10,1,0,0,0,12,0
6.0,8730986229604,0.14046963109556754,0.8337599139019943,4720,14,2,11,4,0,0,0,11,0
6.0,8730986229637,0.43814945488742074,0.9116226790930436,4604,7,0,10,2,0,0,0,3,0
6.0,8730986229670,0.8467976790275037,0.425615265214516,4650,17,4,16,3,0,0,0,5,0
7.0,8730986250623,0.6724354047312854,0.24828321183968183,4725,6,3,9,4,0,0,0,7,0
7.0,8730986224125,0.629028022831535,0.2748650776569722,4671,10,4,10,5,0,0,0,7,0
7.0,8730986229538,0.17031764792621706,0.4687942992573725,4786,7,1,7,1,0,0,0,12,0
7.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,5,4,8,1,0,0,0,14,0
7.0,8730986229604,0.14046963109556754,0.8337599139019943,4720,11,3,8,6,0,0,0,14,0
7.0,8730986229637,0.43814945488742074,0.9116226790930436,4604,4,2,9,2,0,0,0,5,0
7.0,8730986229670,0.8467976790275037,0.425615265214516,4649,13,6,16,4,0,0,0,7,0
8.0,8730986250623,0.6724354047312854,0.24828321183968183,4725,5,3,8,4,0,0,0,9,0
8.0,8730986224125,0.629028022831535,0.2748650776569722,4671,7,5,9,5,0,0,0,10,0
8.0,8730986229538,0.17031764792621706,0.4687942992573725,4785,5,1,7,2,0,0,0,14,0
8.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,5,4,7,1,0,0,0,15,0
8.0,8730986229604,0.14046963109556754,0.8337599139019943,4720,10,4,5,6,0,0,0,17,0
8.0,8730986229637,0.43814945488742074,0.9116226790930436,4603,5,2,9,2,0,0,0,5,0
8.0,8730986229670,0.8467976790275037,0.425615265214516,4648,12,6,16,5,0,0,0,8,0
9.0,8730986250623,0.6724354047312854,0.24828321183968183,4725,2,4,9,4,0,0,0,10,0
9.0,8730986224125,0.629028022831535,0.2748650776569722,4671,5,5,10,5,0,0,0,11,0
9.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,4,1,5,4,0,0,0,16,0
9.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,3,4,8,1,0,0,0,16,0
9.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,7,3,7,8,0,0,0,18,0
9.0,8730986229637,0.43814945488742074,0.9116226790930436,4602,5,3,6,1,0,0,0,9,0
9.0,8730986229670,0.8467976790275037,0.425615265214516,4645,15,5,13,5,0,0,0,12,0
10.0,8730986250623,0.6724354047312854,0.24828321183968183,4724,1,5,7,4,0,0,0,13,0
10.0,8730986224125,0.629028022831535,0.2748650776569722,4670,6,5,10,5,0,0,0,11,0
10.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,3,2,5,4,0,0,0,16,0
10.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,2,3,6,2,0,0,0,19,0
10.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,7,3,4,7,1,0,0,21,0
10.0,8730986229637,0.43814945488742074,0.9116226790930436,4602,3,4,5,2,0,0,0,10,0
10.0,8730986229670,0.8467976790275037,0.425615265214516,4645,10,7,10,6,0,0,0,17,0
11.0,8730986250623,0.6724354047312854,0.24828321183968183,4724,1,4,7,3,1,0,0,14,0
11.0,8730986224125,0.629028022831535,0.2748650776569722,4670,4,6,7,5,1,0,0,14,0
11.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,1,3,5,5,0,0,0,16,0
11.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,1,4,3,2,0,0,0,22,0
11.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,6,4,3,6,1,0,0,23,0
11.0,8730986229637,0.43814945488742074,0.9116226790930436,4602,3,3,5,1,1,0,0,11,0
11.0,8730986229670,0.8467976790275037,0.425615265214516,4645,10,7,7,6,0,0,0,20,0
12.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,2,3,6,2,1,0,0,17,0
12.0,8730986224125,0.629028022831535,0.2748650776569722,4669,4,6,5,4,2,0,0,17,0
12.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,1,2,5,4,0,0,0,18,0
12.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,4,3,2,0,0,0,23,0
12.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,6,4,3,4,1,0,0,25,0
12.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,2,4,4,1,0,1,0,13,0
12.0,8730986229670,0.8467976790275037,0.425615265214516,4643,8,8,8,6,1,0,0,21,0
13.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,2,3,5,2,1,0,0,18,0
13.0,8730986224125,0.629028022831535,0.2748650776569722,4669,3,6,6,3,2,0,0,18,0
13.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,1,2,4,2,1,0,0,20,0
13.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,4,3,2,0,0,0,23,0
13.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,5,4,4,4,0,0,0,26,0
13.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,1,5,3,1,0,1,0,14,0
13.0,8730986229670,0.8467976790275037,0.425615265214516,4643,6,8,9,7,1,0,0,21,0
14.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,1,3,6,1,0,1,0,19,0
14.0,8730986224125,0.629028022831535,0.2748650776569722,4669,3,6,5,2,1,0,0,21,0
14.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,0,2,3,3,1,0,0,21,0
14.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,4,3,2,0,0,0,23,0
14.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,2,5,4,4,0,0,0,28,0
14.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,1,5,2,0,1,1,0,15,0
14.0,8730986229670,0.8467976790275037,0.425615265214516,4642,5,7,9,5,1,0,0,26,0
15.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,1,2,5,0,0,1,0,22,0
15.0,8730986224125,0.629028022831535,0.2748650776569722,4669,3,6,5,2,1,0,0,21,0
15.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,0,1,3,2,2,0,0,22,0
15.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,4,3,2,0,0,0,23,0
15.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,1,5,4,5,0,0,0,28,0
15.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,1,4,2,0,1,0,1,16,0
15.0,8730986229670,0.8467976790275037,0.425615265214516,4642,3,7,9,6,1,0,0,27,0
16.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,1,1,5,0,0,1,0,23,0
16.0,8730986224125,0.629028022831535,0.2748650776569722,4669,2,6,3,1,1,1,0,24,0
16.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,0,1,2,2,1,1,0,23,0
16.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,3,3,2,0,0,0,24,0
16.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,1,5,3,5,0,0,0,29,0
16.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,1,4,2,0,1,0,1,16,0
16.0,8730986229670,0.8467976790275037,0.425615265214516,4642,1,8,8,4,0,0,0,31,1
17.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,1,1,2,0,0,1,0,26,0
17.0,8730986224125,0.629028022831535,0.2748650776569722,4669,2,6,1,1,1,1,0,26,0
17.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,0,1,2,2,1,1,0,23,0
17.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,1,3,2,0,0,0,26,0
17.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,1,4,2,5,0,0,0,31,0
17.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,1,4,1,0,1,0,1,17,0
17.0,8730986229670,0.8467976790275037,0.425615265214516,4642,1,8,5,4,0,0,0,34,1
18.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,1,1,2,0,0,1,0,26,0
18.0,8730986224125,0.629028022831535,0.2748650776569722,4669,2,6,1,1,1,1,0,26,0
18.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,0,1,2,2,1,1,0,23,0
18.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,1,2,1,0,0,0,28,0
18.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,1,4,1,5,0,0,0,32,0
18.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,1,4,1,0,1,0,0,18,0
18.0,8730986229670,0.8467976790275037,0.425615265214516,4642,1,8,5,2,1,0,0,35,1
19.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,1,1,1,0,0,1,0,27,0
19.0,8730986224125,0.629028022831535,0.2748650776569722,4669,0,6,2,2,1,1,0,26,0
19.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,0,1,1,2,1,1,0,24,0
19.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,1,0,0,0,0,0,31,0
19.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,1,4,0,3,0,0,0,35,0
19.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,1,4,1,0,1,0,0,18,0
19.0,8730986229670,0.8467976790275037,0.425615265214516,4642,0,7,4,2,1,0,0,38,1
20.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,1,1,1,0,0,1,0,27,0
20.0,8730986224125,0.629028022831535,0.2748650776569722,4669,0,6,1,2,1,0,1,27,0
20.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,0,1,1,2,0,1,0,24,1
20.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,1,0,0,0,0,0,31,0
20.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,0,4,1,1,0,0,0,37,0
20.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,0,4,2,0,1,0,0,18,0
20.0,8730986229670,0.8467976790275037,0.425615265214516,4642,0,7,3,2,1,0,0,39,1
21.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,1,1,1,0,0,1,0,27,0
21.0,8730986224125,0.629028022831535,0.2748650776569722,4669,0,5,1,2,1,0,0,29,0
21.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,0,1,0,0,0,1,0,27,1
21.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,1,0,0,0,0,0,31,0
21.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,0,4,1,1,0,0,0,37,0
21.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,0,3,1,0,1,0,0,20,0
21.0,8730986229670,0.8467976790275037,0.425615265214516,4642,0,7,1,2,1,0,0,41,1
22.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,1,1,1,0,0,0,0,27,1
22.0,8730986224125,0.629028022831535,0.2748650776569722,4669,0,5,1,1,1,0,0,30,0
22.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,0,1,0,0,0,0,0,27,2
22.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,1,0,0,0,0,0,31,0
22.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,0,4,1,0,0,0,0,38,0
22.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,0,3,1,0,1,0,0,20,0
22.0,8730986229670,0.8467976790275037,0.425615265214516,4642,0,7,1,2,1,0,0,41,1
23.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,1,1,1,0,0,0,0,27,1
23.0,8730986224125,0.629028022831535,0.2748650776569722,4669,0,5,1,1,1,0,0,30,0
23.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,0,1,0,0,0,0,0,27,2
23.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,1,0,0,0,0,0,31,0
23.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,0,4,1,0,0,0,0,38,0
23.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,0,3,1,0,1,0,0,20,0
23.0,8730986229670,0.8467976790275037,0.425615265214516,4642,0,6,1,1,1,0,0,43,1
24.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,1,1,1,0,0,0,0,27,1
24.0,8730986224125,0.629028022831535,0.2748650776569722,4669,0,4,1,1,1,0,0,31,0
24.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,0,1,0,0,0,0,0,27,2
24.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,0,0,0,0,0,0,32,0
24.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,0,4,1,0,0,0,0,38,0
24.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,0,3,1,0,1,0,0,20,0
24.0,8730986229670,0.8467976790275037,0.425615265214516,4642,0,6,0,1,1,0,0,44,1
25.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,1,1,1,0,0,0,0,27,1
25.0,8730986224125,0.629028022831535,0.2748650776569722,4669,0,4,1,1,1,0,0,31,0
25.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,0,1,0,0,0,0,0,27,2
25.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,0,0,0,0,0,0,32,0
25.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,0,4,1,0,0,0,0,38,0
25.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,0,3,1,0,1,0,0,20,0
25.0,8730986229670,0.8467976790275037,0.425615265214516,4642,0,6,0,1,1,0,0,44,1
26.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,0,1,2,0,0,0,0,27,1
26.0,8730986224125,0.629028022831535,0.2748650776569722,4669,0,4,0,1,0,0,0,33,0
26.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,0,0,0,0,0,0,0,28,2
26.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,0,0,0,0,0,0,32,0
26.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,0,3,1,0,0,0,0,39,0
26.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,0,3,0,0,1,0,0,21,0
26.0,8730986229670,0.8467976790275037,0.425615265214516,4642,0,6,0,0,1,0,0,45,1
27.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,0,1,1,0,0,0,0,28,1
27.0,8730986224125,0.629028022831535,0.2748650776569722,4669,0,4,0,1,0,0,0,33,0
27.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,0,0,0,0,0,0,0,28,2
27.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,0,0,0,0,0,0,32,0
27.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,0,3,1,0,0,0,0,39,0
27.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,0,2,0,0,1,0,0,22,0
27.0,8730986229670,0.8467976790275037,0.425615265214516,4642,0,6,0,0,1,0,0,45,1
28.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,0,1,0,0,0,0,0,29,1
28.0,8730986224125,0.629028022831535,0.2748650776569722,4669,0,4,0,1,0,0,0,33,0
28.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,0,0,0,0,0,0,0,28,2
28.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,0,0,0,0,0,0,32,0
28.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,0,1,1,0,0,0,0,41,0
28.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,0,2,0,0,1,0,0,22,0
28.0,8730986229670,0.8467976790275037,0.425615265214516,4642,0,5,0,0,1,0,0,46,1
29.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,0,1,0,0,0,0,0,29,1
29.0,8730986224125,0.629028022831535,0.2748650776569722,4669,0,4,0,0,0,0,0,34,0
29.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,0,0,0,0,0,0,0,28,2
29.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,0,0,0,0,0,0,32,0
29.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,0,1,1,0,0,0,0,41,0
29.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,0,1,0,0,1,0,0,23,0
29.0,8730986229670,0.8467976790275037,0.425615265214516,4642,0,5,0,0,1,0,0,46,1
30.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,0,1,0,0,0,0,0,29,1
30.0,8730986224125,0.629028022831535,0.2748650776569722,4669,0,3,0,0,0,0,0,35,0
30.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,0,0,0,0,0,0,0,28,2
30.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,0,0,0,0,0,0,32,0
30.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,0,1,1,0,0,0,0,41,0
30.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,0,1,0,0,1,0,0,23,0
30.0,8730986229670,0.8467976790275037,0.425615265214516,4642,0,5,0,0,1,0,0,46,1
31.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,0,1,0,0,0,0,0,29,1
31.0,8730986224125,0.629028022831535,0.2748650776569722,4669,0,2,0,0,0,0,0,36,0
31.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,0,0,0,0,0,0,0,28,2
31.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,0,0,0,0,0,0,32,0
31.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,0,1,1,0,0,0,0,41,0
31.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,0,1,0,0,1,0,0,23,0
31.0,8730986229670,0.8467976790275037,0.425615265214516,4642,0,4,0,0,0,0,0,47,2
32.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,0,1,0,0,0,0,0,29,1
32.0,8730986224125,0.629028022831535,0.2748650776569722,4669,0,1,0,0,0,0,0,37,0
32.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,0,0,0,0,0,0,0,28,2
32.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,0,0,0,0,0,0,32,0
32.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,0,1,1,0,0,0,0,41,0
32.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,0,1,0,0,1,0,0,23,0
32.0,8730986229670,0.8467976790275037,0.425615265214516,4642,0,4,0,0,0,0,0,47,2
33.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,0,1,0,0,0,0,0,29,1
33.0,8730986224125,0.629028022831535,0.2748650776569722,4669,0,1,0,0,0,0,0,37,0
33.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,0,0,0,0,0,0,0,28,2
33.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,0,0,0,0,0,0,32,0
33.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,0,1,1,0,0,0,0,41,0
33.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,0,1,0,0,1,0,0,23,0
33.0,8730986229670,0.8467976790275037,0.425615265214516,4642,0,3,0,0,0,0,0,48,2
