cell,microcell,location_x,location_y,household_number,place_number,Susceptible,InfectMild
527,6,5.94166666666668,49.9166666666667,0,2,0,0
527,7,5.94166666666668,49.9166666666667,0,3,0,0
527,8,5.94166666666668,49.9166666666667,0,0,0,0
528,0,5.95833333333334,49.9166666666667,0,6,0,0
528,1,5.95833333333334,49.9166666666667,1,3,1,0
528,2,5.95833333333334,49.9166666666667,0,7,0,0
528,3,5.95833333333334,49.9166666666667,1,7,1,0
528,4,5.95833333333334,49.9166666666667,1,5,1,0
528,5,5.95833333333334,49.9166666666667,0,5,0,0
528,6,5.95833333333334,49.9166666666667,0,4,0,0
528,7,5.95833333333334,49.9166666666667,1,5,1,0
528,8,5.95833333333334,49.9166666666667,1,2,2,0
529,0,5.96666666666668,49.9166666666667,1,4,2,0
529,1,5.96666666666668,49.9166666666667,1,4,2,0
529,2,5.96666666666668,49.9166666666667,1,4,2,0
529,3,5.96666666666668,49.9166666666667,1,6,1,0
529,4,5.96666666666668,49.9166666666667,0,4,0,0
529,5,5.96666666666668,49.9166666666667,1,4,1,0
529,6,5.96666666666668,49.9166666666667,1,6,2,0
529,7,5.96666666666668,49.9166666666667,1,4,1,0
529,8,5.96666666666668,49.9166666666667,1,7,1,0
530,0,5.98333333333334,49.9166666666667,1,6,1,0
530,1,5.98333333333334,49.9166666666667,0,4,0,0
530,2,5.98333333333334,49.9166666666667,0,5,0,0
530,3,5.98333333333334,49.9166666666667,1,5,1,0
530,4,5.98333333333334,49.9166666666667,1,5,1,0
530,5,5.98333333333334,49.9166666666667,1,6,2,0
530,6,5.98333333333334,49.9166666666667,0,6,0,0
530,7,5.98333333333334,49.9166666666667,1,8,2,0
530,8,5.98333333333334,49.9166666666667,0,4,0,0
531,0,5.99166666666668,49.9166666666667,3,9,6,0
531,1,5.99166666666668,49.9166666666667,2,8,4,0
531,2,5.99166666666668,49.9166666666667,2,1,3,0
531,3,5.99166666666668,49.9166666666667,5,7,10,0
531,4,5.99166666666668,49.9166666666667,3,4,7,0
531,5,5.99166666666668,49.9166666666667,3,4,6,0
531,6,5.99166666666668,49.9166666666667,2,5,4,0
531,7,5.99166666666668,49.9166666666667,1,4,2,0
531,8,5.99166666666668,49.9166666666667,2,4,3,0
532,0,6.00000000000001,49.9166666666667,1,4,2,0
532,1,6.00000000000001,49.9166666666667,1,2,1,0
532,2,6.00000000000001,49.9166666666667,1,7,1,0
532,3,6.00000000000001,49.9166666666667,1,7,1,0
532,4,6.00000000000001,49.9166666666667,1,5,2,0
532,5,6.00000000000001,49.9166666666667,1,4,1,0
532,6,6.00000000000001,49.9166666666667,1,3,1,0
532,7,6.00000000000001,49.9166666666667,1,5,1,0
532,8,6.00000000000001,49.9166666666667,1,2,2,0
533,0,6.00833333333334,49.9166666666667,3,5,5,0
533,1,6.00833333333334,49.9166666666667,1,7,2,0
533,2,6.00833333333334,49.9166666666667,3,8,5,0
533,3,6.00833333333334,49.9166666666667,3,2,6,0
533,4,6.00833333333334,49.9166666666667,2,3,4,0
533,5,6.00833333333334,49.9166666666667,1,5,1,0
533,6,6.00833333333334,49.9166666666667,2,10,4,0
533,7,6.00833333333334,49.9166666666667,2,7,4,0
533,8,6.00833333333334,49.9166666666667,2,5,3,0
534,0,6.05000000000001,49.9166666666667,1,3,1,0
534,1,6.05000000000001,49.9166666666667,1,12,2,0
534,2,6.05000000000001,49.9166666666667,0,7,0,0
534,3,6.05000000000001,49.9166666666667,1,6,1,0
534,4,6.05000000000001,49.9166666666667,1,5,1,0
534,5,6.05000000000001,49.9166666666667,1,4,1,0
534,6,6.05000000000001,49.9166666666667,0,6,0,0
534,7,6.05000000000001,49.9166666666667,0,5,0,0
534,8,6.05000000000001,49.9166666666667,0,6,0,0
535,0,6.05833333333334,49.9166666666667,9,8,22,0
535,1,6.05833333333334,49.9166666666667,7,2,16,0
535,2,6.05833333333334,49.9166666666667,8,7,19,0
535,3,6.05833333333334,49.9166666666667,6,5,14,0
535,4,6.05833333333334,49.9166666666667,7,4,16,0
535,5,6.05833333333334,49.9166666666667,9,7,20,0
535,6,6.05833333333334,49.9166666666667,9,4,21,0
535,7,6.05833333333334,49.9166666666667,7,4,17,0
535,8,6.05833333333334,49.9166666666667,7,5,17,0
536,0,6.06666666666668,49.9166666666667,2,2,3,0
536,1,6.06666666666668,49.9166666666667,1,2,2,0
536,2,6.06666666666668,49.9166666666667,3,3,6,0
536,3,6.06666666666668,49.9166666666667,3,5,7,0
536,4,6.06666666666668,49.9166666666667,3,4,5,0
536,5,6.06666666666668,49.9166666666667,4,4,8,0
536,6,6.06666666666668,49.9166666666667,3,5,7,0
