time,age_group,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead
10.0,4,8,6,4,4,2,0,0,0,4,0
10.0,5,11,7,4,4,2,0,0,0,4,0
10.0,6,15,7,4,4,2,0,0,0,4,0
10.0,7,17,7,4,5,2,0,0,0,4,0
10.0,8,17,7,5,9,4,0,0,0,7,0
10.0,9,17,7,5,10,7,0,0,0,11,0
10.0,10,17,9,7,12,8,0,0,0,13,0
10.0,11,17,10,7,12,9,0,0,0,13,0
10.0,12,17,10,8,15,13,0,0,0,16,0
10.0,13,17,10,13,15,15,0,0,0,17,0
10.0,14,17,10,13,16,15,0,0,0,18,0
10.0,15,17,10,15,16,15,0,0,0,18,0
10.0,16,17,10,16,16,16,0,0,0,18,0
10.0,17,17,12,19,16,16,1,0,0,19,0
11.0,1,0,1,1,1,0,0,0,0,2,0
11.0,2,0,3,2,2,3,0,0,0,5,0
11.0,3,3,4,5,2,3,0,0,0,5,0
11.0,4,8,4,5,3,3,0,0,0,5,0
11.0,5,11,5,5,3,3,0,0,0,5,0
11.0,6,15,5,5,3,3,0,0,0,5,0
11.0,7,17,5,5,4,3,0,0,0,5,0
11.0,8,17,5,6,7,5,0,0,0,9,0
11.0,9,17,5,6,8,7,1,0,0,13,0
11.0,10,17,5,9,10,9,1,0,0,15,0
11.0,11,17,6,9,10,10,1,0,0,15,0
11.0,12,17,6,10,12,14,1,0,0,19,0
11.0,13,17,6,14,12,16,1,0,0,21,0
11.0,14,17,6,14,13,16,1,0,0,22,0
11.0,15,17,6,16,13,16,1,0,0,22,0
11.0,16,17,6,17,13,17,1,0,0,22,0
11.0,17,17,8,20,13,17,2,0,0,23,0
12.0,1,0,1,1,0,0,0,0,0,3,0
12.0,2,0,3,2,0,2,0,0,0,8,0
12.0,3,3,4,5,0,2,0,0,0,8,0
12.0,4,8,4,5,1,2,0,0,0,8,0
12.0,5,11,5,5,1,2,0,0,0,8,0
12.0,6,15,5,5,1,2,0,0,0,8,0
12.0,7,17,5,5,2,2,0,0,0,8,0
12.0,8,17,5,6,5,4,0,0,0,12,0
12.0,9,17,5,6,6,5,1,0,0,17,0
12.0,10,17,5,9,8,7,1,0,0,19,0
12.0,11,17,6,9,8,8,1,0,0,19,0
12.0,12,17,6,10,10,12,1,0,0,23,0
12.0,13,17,6,13,10,13,1,0,0,27,0
12.0,14,17,6,13,11,13,1,0,0,28,0
12.0,15,17,6,15,11,13,1,0,0,28,0
12.0,16,17,6,16,11,14,1,0,0,28,0
12.0,17,17,8,19,11,14,1,0,0,29,1
13.0,1,0,1,1,0,0,0,0,0,3,0
13.0,2,0,3,2,0,2,0,0,0,8,0
13.0,3,3,4,5,0,2,0,0,0,8,0
13.0,4,8,4,5,1,2,0,0,0,8,0
13.0,5,11,5,5,1,2,0,0,0,8,0
13.0,6,15,5,5,1,2,0,0,0,8,0
13.0,7,17,5,5,2,2,0,0,0,8,0
13.0,8,17,5,6,4,4,0,0,0,13,0
13.0,9,17,5,6,4,4,1,0,0,20,0
13.0,10,17,5,9,5,6,1,0,0,23,0
13.0,11,17,6,9,5,7,1,0,0,23,0
13.0,12,17,6,10,6,11,1,0,0,28,0
13.0,13,17,6,13,6,12,1,0,0,32,0
13.0,14,17,6,13,7,12,1,0,0,33,0
13.0,15,17,6,15,7,12,1,0,0,33,0
13.0,16,17,6,16,7,13,1,0,0,33,0
13.0,17,17,7,19,7,14,1,0,0,34,1
14.0,1,0,1,1,0,0,0,0,0,3,0
14.0,2,0,1,3,0,3,0,0,0,8,0
14.0,3,3,2,5,0,3,0,0,0,9,0
14.0,4,8,2,5,1,3,0,0,0,9,0
14.0,5,11,3,5,1,3,0,0,0,9,0
14.0,6,15,3,5,1,3,0,0,0,9,0
14.0,7,17,3,5,2,3,0,0,0,9,0
14.0,8,17,3,6,4,4,1,0,0,14,0
14.0,9,17,3,6,4,4,2,0,0,21,0
14.0,10,17,3,8,5,5,2,0,0,26,0
14.0,11,17,4,8,5,6,2,0,0,26,0
14.0,12,17,4,9,5,9,2,0,0,33,0
14.0,13,17,4,12,5,10,2,0,0,37,0
14.0,14,17,4,12,6,10,2,0,0,38,0
14.0,15,17,4,14,6,10,2,0,0,38,0
14.0,16,17,4,15,6,11,2,0,0,38,0
14.0,17,17,5,17,6,12,2,0,0,40,1
15.0,1,0,1,1,0,0,0,0,0,3,0
15.0,2,0,1,3,0,3,0,0,0,8,0
15.0,3,3,1,5,1,3,0,0,0,9,0
15.0,4,8,1,5,2,3,0,0,0,9,0
15.0,5,11,1,5,3,3,0,0,0,9,0
15.0,6,15,1,5,3,3,0,0,0,9,0
15.0,7,17,1,5,3,3,0,0,0,10,0
15.0,8,17,1,6,5,4,1,0,0,15,0
15.0,9,17,1,6,5,4,1,0,0,23,0
15.0,10,17,1,8,6,5,1,0,0,28,0
15.0,11,17,1,8,7,6,1,0,0,28,0
15.0,12,17,1,9,7,8,1,0,0,36,0
15.0,13,17,1,12,7,8,1,0,0,41,0
15.0,14,17,1,12,7,8,1,0,0,43,0
15.0,15,17,1,14,7,8,1,0,0,43,0
15.0,16,17,1,14,7,8,1,0,0,45,0
15.0,17,17,2,16,7,8,2,0,0,47,1
16.0,1,0,0,1,0,0,0,0,0,4,0
16.0,2,0,0,2,0,2,0,0,0,11,0
16.0,3,3,0,4,1,2,0,0,0,12,0
16.0,4,8,0,4,1,2,0,0,0,13,0
16.0,5,11,0,4,2,2,0,0,0,13,0
16.0,6,15,0,4,2,2,0,0,0,13,0
16.0,7,17,0,4,2,2,0,0,0,14,0
16.0,8,17,0,5,4,3,1,0,0,19,0
16.0,9,17,0,5,4,3,1,0,0,27,0
16.0,10,17,0,7,5,4,1,0,0,32,0
16.0,11,17,0,7,6,5,1,0,0,32,0
16.0,12,17,0,8,6,7,1,0,0,40,0
16.0,13,17,0,11,6,7,1,0,0,45,0
16.0,14,17,0,11,6,7,1,0,0,47,0
16.0,15,17,0,12,6,7,1,0,0,48,0
16.0,16,17,0,12,6,7,1,0,0,50,0
16.0,17,17,1,14,6,7,2,0,0,52,1
17.0,1,0,0,1,0,0,0,0,0,4,0
17.0,2,0,0,2,0,2,0,0,0,11,0
17.0,3,3,0,4,1,2,0,0,0,12,0
17.0,4,8,0,4,1,2,0,0,0,13,0
17.0,5,10,1,4,2,2,0,0,0,13,0
17.0,6,14,1,4,2,2,0,0,0,13,0
17.0,7,16,1,4,2,2,0,0,0,14,0
17.0,8,16,1,5,3,2,0,0,0,22,0
17.0,9,16,1,5,3,2,0,0,0,30,0
17.0,10,16,1,7,4,3,0,0,0,35,0
17.0,11,16,1,7,5,3,0,0,0,36,0
17.0,12,16,1,8,5,4,0,0,0,45,0
17.0,13,16,1,11,5,4,0,0,0,50,0
17.0,14,16,1,11,5,4,0,0,0,52,0
17.0,15,16,1,12,5,4,0,0,0,53,0
17.0,16,16,1,12,5,4,0,0,0,55,0
17.0,17,16,1,14,5,5,1,0,0,57,1
18.0,1,0,0,1,0,0,0,0,0,4,0
18.0,2,0,0,2,0,2,0,0,0,11,0
18.0,3,3,0,4,0,2,0,0,0,13,0
18.0,4,8,0,4,0,2,0,0,0,14,0
18.0,5,10,1,4,1,2,0,0,0,14,0
18.0,6,14,1,4,1,2,0,0,0,14,0
18.0,7,16,1,4,1,2,0,0,0,15,0
18.0,8,16,1,5,2,2,0,0,0,23,0
18.0,9,16,1,5,2,2,0,0,0,31,0
18.0,10,16,1,7,3,3,0,0,0,36,0
18.0,11,16,1,7,4,3,0,0,0,37,0
18.0,12,16,1,8,4,4,0,0,0,46,0
18.0,13,16,1,11,4,4,0,0,0,51,0
18.0,14,16,1,11,4,4,0,0,0,53,0
18.0,15,16,1,12,4,4,0,0,0,54,0
18.0,16,16,1,12,4,4,0,0,0,56,0
18.0,17,16,1,14,4,5,0,0,0,58,2
19.0,1,0,0,1,0,0,0,0,0,4,0
19.0,2,0,0,2,0,2,0,0,0,11,0
19.0,3,3,0,4,0,2,0,0,0,13,0
19.0,4,8,0,4,0,2,0,0,0,14,0
19.0,5,10,1,4,1,2,0,0,0,14,0
19.0,6,14,1,4,1,2,0,0,0,14,0
19.0,7,16,1,4,1,2,0,0,0,15,0
19.0,8,16,1,5,2,2,0,0,0,23,0
19.0,9,16,1,5,2,2,0,0,0,31,0
19.0,10,16,1,7,3,3,0,0,0,36,0
19.0,11,16,1,7,4,3,0,0,0,37,0
19.0,12,16,1,8,4,3,0,0,0,47,0
19.0,13,16,1,11,4,3,0,0,0,52,0
19.0,14,16,1,11,4,3,0,0,0,54,0
19.0,15,16,1,12,4,3,0,0,0,55,0
19.0,16,16,1,12,4,3,0,0,0,57,0
19.0,17,16,1,14,4,3,0,0,0,60,2
20.0,1,0,0,1,0,0,0,0,0,4,0
20.0,2,0,0,2,0,1,0,0,0,12,0
20.0,3,3,0,4,0,1,0,0,0,14,0
20.0,4,8,0,4,0,1,0,0,0,15,0
20.0,5,10,1,4,1,1,0,0,0,15,0
20.0,6,14,1,4,1,1,0,0,0,15,0
20.0,7,16,1,4,1,1,0,0,0,16,0
20.0,8,16,1,5,2,1,0,0,0,24,0
20.0,9,16,1,5,2,1,0,0,0,32,0
20.0,10,16,1,6,2,2,0,0,0,39,0
20.0,11,16,1,6,3,2,0,0,0,40,0
20.0,12,16,1,7,3,2,0,0,0,50,0
20.0,13,16,1,10,3,2,0,0,0,55,0
20.0,14,16,1,10,3,2,0,0,0,57,0
20.0,15,16,1,11,3,2,0,0,0,58,0
20.0,16,16,1,11,3,2,0,0,0,60,0
20.0,17,16,1,13,3,2,0,0,0,63,2
21.0,1,0,0,1,0,0,0,0,0,4,0
21.0,2,0,0,2,0,1,0,0,0,12,0
21.0,3,3,0,3,0,1,0,0,0,15,0
21.0,4,8,0,3,0,1,0,0,0,16,0
21.0,5,10,1,3,1,1,0,0,0,16,0
21.0,6,14,1,3,1,1,0,0,0,16,0
21.0,7,16,1,3,1,1,0,0,0,17,0
21.0,8,16,1,4,2,1,0,0,0,25,0
21.0,9,16,1,4,2,1,0,0,0,33,0
21.0,10,16,1,4,2,2,0,0,0,41,0
21.0,11,16,1,4,3,2,0,0,0,42,0
21.0,12,16,1,5,3,2,0,0,0,52,0
21.0,13,16,1,7,3,2,0,0,0,58,0
21.0,14,16,1,7,3,2,0,0,0,60,0
21.0,15,16,1,8,3,2,0,0,0,61,0
21.0,16,16,1,8,3,2,0,0,0,63,0
21.0,17,16,1,10,3,2,0,0,0,66,2
22.0,1,0,0,1,0,0,0,0,0,4,0
22.0,2,0,0,2,0,1,0,0,0,12,0
22.0,3,3,0,3,0,1,0,0,0,15,0
