timestep,age_group,Susceptible,Exposed,InfectASympt,InfectMild,InfectGP,InfectHosp,InfectICU,InfectICURecov,Recovered,Dead
13,10,1768,327,161,178,102,10,0,0,79,1
13,11,1587,270,129,162,102,2,0,0,78,0
13,12,1418,267,150,143,87,1,3,0,70,1
13,13,1674,42,13,12,11,0,0,0,11,0
13,14,1473,26,10,11,11,1,1,0,4,0
13,15,1202,24,4,3,1,0,0,0,4,0
13,16,1932,37,8,14,8,0,0,0,8,0
14,0,1217,62,38,38,18,0,0,0,15,0
14,1,1200,124,77,99,51,0,0,0,52,0
14,2,1236,227,115,141,54,0,0,0,66,0
14,3,1254,114,70,59,40,0,0,0,40,0
14,4,1203,146,101,83,52,0,0,0,52,0
14,5,1138,199,102,108,73,1,0,0,67,0
14,6,1162,217,147,123,77,0,1,0,89,0
14,7,1490,297,167,165,84,1,0,0,122,0
14,8,1905,299,210,188,119,6,0,0,125,0
14,9,1759,323,200,185,102,2,1,0,139,0
14,10,1704,300,180,201,118,14,0,0,108,1
14,11,1531,272,152,160,112,2,0,0,101,0
14,12,1379,252,166,153,82,5,3,0,99,1
14,13,1666,42,17,13,11,0,0,0,14,0
14,14,1465,26,15,12,11,1,1,0,6,0
14,15,1197,20,6,6,5,0,0,0,4,0
14,16,1923,41,10,13,8,0,0,0,12,0
15,0,1211,57,36,44,16,0,0,0,24,0
15,1,1192,109,82,101,49,0,0,0,70,0
15,2,1194,218,123,152,64,0,0,0,88,0
15,3,1215,131,73,67,44,0,0,0,47,0
15,4,1179,147,106,84,54,0,0,0,67,0
15,5,1097,193,108,123,75,1,0,0,91,0
15,6,1132,202,160,137,76,0,1,0,108,0
15,7,1452,266,187,177,97,1,0,0,146,0
15,8,1857,282,226,198,120,7,0,0,162,0
15,9,1718,302,213,197,105,2,1,0,173,0
15,10,1653,291,195,209,118,14,0,0,144,2
15,11,1488,251,172,166,119,6,0,0,128,0
15,12,1338,236,179,170,88,6,4,0,118,1
15,13,1661,40,19,13,11,2,0,0,17,0
15,14,1463,20,17,15,12,2,1,0,7,0
15,15,1193,19,6,9,7,0,0,0,4,0
15,16,1919,40,11,16,8,0,0,0,13,0
16,0,1205,44,40,47,22,0,0,0,30,0
16,1,1179,105,86,96,48,0,0,0,89,0
16,2,1155,208,137,152,69,0,0,0,118,0
16,3,1185,128,84,81,45,0,0,0,54,0
16,4,1165,128,115,88,58,0,0,0,83,0
16,5,1066,185,112,132,72,2,0,0,119,0
16,6,1101,184,173,145,78,0,1,0,134,0
16,7,1412,241,208,184,99,1,0,0,181,0
16,8,1806,284,240,203,121,7,0,0,191,0
16,9,1665,287,226,211,106,5,1,0,210,0
16,10,1597,278,207,206,135,11,0,0,190,2
16,11,1440,240,186,163,121,7,0,0,173,0
16,12,1299,241,186,158,85,9,4,1,156,1
16,13,1658,32,21,20,11,2,0,0,19,0
16,14,1463,17,17,14,12,3,1,0,10,0
16,15,1191,19,6,11,7,0,0,0,4,0
16,16,1918,36,14,18,5,2,0,0,14,0
17,0,1193,40,42,52,23,0,0,0,38,0
17,1,1138,125,91,95,44,0,0,0,110,0
17,2,1109,198,156,160,78,0,0,0,138,0
17,3,1155,125,84,100,46,0,0,0,67,0
17,4,1157,105,125,90,59,0,0,0,101,0
17,5,1042,164,130,137,75,3,0,0,137,0
17,6,1076,180,178,138,74,1,1,0,168,0
17,7,1385,216,225,172,100,1,0,0,227,0
17,8,1757,279,238,210,116,7,1,0,244,0
17,9,1636,249,235,226,106,7,0,1,251,0
17,10,1566,252,216,204,133,12,0,0,241,2
17,11,1414,211,199,166,111,11,1,0,217,0
17,12,1257,231,194,163,84,12,6,0,192,1
17,13,1656,29,22,20,12,2,0,0,22,0
17,14,1462,12,17,17,14,2,1,0,12,0
17,15,1188,20,6,12,7,0,0,0,5,0
17,16,1918,28,16,17,7,2,0,0,19,0
18,0,1186,41,42,49,22,0,0,0,48,0
18,1,1122,122,93,91,44,0,0,0,131,0
18,2,1077,188,160,170,75,0,0,0,169,0
18,3,1145,104,87,108,50,0,0,0,83,0
18,4,1139,99,127,90,53,0,0,0,129,0
18,5,1012,171,140,132,67,4,0,0,162,0
18,6,1058,169,176,135,68,1,0,1,208,0
18,7,1352,210,223,166,106,1,0,0,268,0
18,8,1716,265,244,202,119,6,1,0,298,1
18,9,1600,227,245,226,106,8,0,1,298,0
18,10,1531,238,220,200,132,13,0,0,289,3
18,11,1375,206,210,173,105,9,2,0,250,0
18,12,1227,212,206,159,91,12,7,0,225,1
18,13,1654,24,24,19,13,2,0,0,27,0
18,14,1461,11,18,17,14,2,1,0,13,0
18,15,1187,16,7,12,8,1,0,0,7,0
18,16,1915,26,18,15,10,2,0,0,21,0
19,0,1183,38,43,42,20,0,0,0,62,0
19,1,1110,101,96,95,45,0,0,0,156,0
19,2,1056,163,167,168,77,0,0,0,208,0
19,3,1126,97,93,115,53,0,0,0,93,0
19,4,1128,85,129,86,56,0,0,0,153,0
19,5,995,149,150,128,66,4,0,0,196,0
19,6,1040,150,178,140,68,1,0,1,238,0
19,7,1331,189,225,158,115,2,0,0,306,0
19,8,1690,237,251,194,122,7,1,0,349,1
19,9,1571,213,252,225,100,11,0,0,339,0
19,10,1503,211,226,205,122,15,0,0,340,4
19,11,1354,176,220,167,101,14,2,0,296,0
19,12,1208,184,215,155,89,14,10,0,264,1
19,13,1651,23,26,20,12,1,1,0,29,0
19,14,1459,10,17,15,13,1,1,0,20,1
19,15,1186,11,9,13,9,1,0,0,9,0
19,16,1915,19,21,15,10,2,0,0,25,0
20,0,1178,35,43,38,22,0,0,0,72,0
20,1,1086,101,96,88,40,0,0,0,192,0
20,2,1026,161,172,158,75,0,0,0,247,0
20,3,1116,87,95,110,51,0,0,0,118,0
20,4,1117,68,135,90,60,0,0,0,167,0
20,5,983,136,148,118,62,4,0,0,237,0
20,6,1031,129,187,134,57,1,0,0,277,0
20,7,1314,173,232,156,103,3,0,0,345,0
20,8,1673,204,253,192,115,7,1,0,406,1
20,9,1548,195,250,215,104,10,0,0,388,1
20,10,1480,178,229,208,118,16,0,0,391,6
20,11,1333,163,223,156,95,14,2,1,343,0
20,12,1193,158,217,151,94,19,9,1,297,1
20,13,1651,18,28,19,12,2,1,0,32,0
20,14,1459,8,16,14,12,1,1,0,25,1
20,15,1185,10,11,12,9,1,0,0,10,0
20,16,1915,12,23,14,11,2,0,0,30,0
21,0,1168,35,42,41,18,0,0,0,84,0
21,1,1059,106,91,93,39,0,0,0,215,0
21,2,1005,147,171,149,74,0,0,0,293,0
21,3,1100,81,99,107,54,0,0,0,136,0
21,4,1106,64,135,88,53,0,0,0,191,0
21,5,969,125,151,110,62,4,0,0,267,0
21,6,1016,120,186,126,52,1,0,0,315,0
21,7,1296,159,240,148,92,3,0,0,388,0
21,8,1651,178,263,193,109,7,1,0,448,2
21,9,1532,159,259,200,105,11,0,0,444,1
21,10,1460,156,237,199,109,16,0,0,443,6
21,11,1312,151,227,154,91,16,4,1,374,0
21,12,1174,147,218,145,87,19,9,1,338,2
21,13,1651,14,29,16,10,2,1,0,40,0
21,14,1459,7,16,13,11,1,1,0,28,1
21,15,1183,10,12,10,8,1,0,0,14,0
21,16,1915,8,21,16,11,3,0,0,33,0
22,0,1159,35,41,39,21,0,0,0,93,0
22,1,1036,107,94,90,41,0,0,0,235,0
22,2,978,143,170,138,71,0,0,0,339,0
22,3,1093,66,102,109,53,0,0,0,154,0
22,4,1095,64,136,81,48,0,0,0,213,0
22,5,952,106,153,108,60,3,0,0,306,0
22,6,1003,101,183,125,47,2,0,0,355,0
22,7,1281,145,234,135,85,4,0,0,442,0
22,8,1632,155,264,188,99,8,1,0,503,2
22,9,1513,137,263,193,97,9,0,0,497,2
22,10,1439,139,238,187,111,17,0,0,489,6
22,11,1297,134,226,139,86,16,5,1,425,1
22,12,1159,131,211,134,92,17,9,1,383,3
22,13,1649,9,30,17,10,1,3,0,44,0
22,14,1459,7,15,10,9,1,1,0,34,1
22,15,1183,5,15,10,7,0,0,0,18,0
22,16,1913,9,20,16,7,6,0,0,36,0
23,0,1155,34,40,39,21,0,0,0,99,0
23,1,1025,99,95,97,39,0,0,0,248,0
23,2,963,117,171,142,65,0,0,0,381,0
23,3,1083,57,98,104,45,0,0,0,190,0
23,4,1087,60,133,78,42,0,0,0,237,0
23,5,944,90,152,105,62,3,0,0,332,0
23,6,1000,82,173,112,46,1,1,0,401,0
23,7,1269,124,228,122,78,4,0,0,501,0
23,8,1618,132,256,180,88,8,2,0,566,2
23,9,1501,120,270,175,89,10,0,0,544,2
23,10,1430,116,236,176,100,15,0,0,547,6
23,11,1288,109,230,134,79,16,3,1,468,2
23,12,1152,108,210,126,91,13,10,1,425,4
23,13,1647,8,29,16,10,1,3,0,49,0
23,14,1458,7,14,10,6,1,1,0,39,1
23,15,1182,3,15,12,7,0,0,0,19,0
23,16,1913,9,18,15,7,6,0,0,39,0
24,0,1150,32,45,38,19,0,0,0,104,0
24,1,1013,93,98,93,40,0,0,0,266,0
24,2,950,97,171,135,62,0,0,0,424,0
24,3,1076,47,98,94,39,0,0,0,223,0
24,4,1081,55,128,77,39,0,0,0,257,0
24,5,942,73,149,100,57,2,1,0,364,0
24,6,997,61,178,104,46,1,1,0,428,0
24,7,1260,102,220,116,72,4,0,0,552,0
24,8,1609,111,252,173,84,7,2,0,612,2
24,9,1494,100,263,160,79,10,0,0,602,3
24,10,1423,97,239,158,93,15,0,0,594,7
24,11,1283,91,215,131,72,13,4,2,517,2
24,12,1143,100,201,111,86,12,11,1,470,5
24,13,1647,6,29,12,9,2,3,0,55,0
24,14,1458,4,12,9,6,1,1,0,45,1
24,15,1182,3,15,11,4,1,0,0,22,0
24,16,1913,6,19,12,8,6,0,0,43,0
25,0,1148,26,44,36,20,0,0,0,114,0
25,1,1004,85,99,87,37,0,0,0,291,0
25,2,928,97,169,123,54,0,0,0,468,0
25,3,1066,45,94,88,36,1,0,0,247,0
25,4,1073,45,123,71,41,0,0,0,284,0
