av_infections_4,sd_infections_4,av_susceptible_4,sd_susceptible_4,av_recovered_4,sd_recovered_4,av_infections_6,sd_infections_6,av_susceptible_6,sd_susceptible_6,av_recovered_6,sd_recovered_6,av_infections_8,sd_infections_8,av_susceptible_8,sd_susceptible_8,av_recovered_8,sd_recovered_8,av_infections_12,sd_infections_12,av_susceptible_12,sd_susceptible_12,av_recovered_12,sd_recovered_12,av_infections_15,sd_infections_15,av_susceptible_15,sd_susceptible_15,av_recovered_15,sd_recovered_15,time
866.8,222.26200754964847,7537.7,511.9774409092651,88.5,29.19379690581165,436.8,171.26834046152385,8722.8,426.14285554650957,43.2,22.616611397623455,301.6,103.18182441151585,9166.1,263.5616942324257,40.8,13.830722645215937,206.7,43.20506657531936,9478.2,113.3037216217249,29.1,9.194805296712076,145.6,26.38686541949738,9651.9,64.19839042634429,20.7,4.691600058733813,10
1143.2,267.11786828206675,7035.5,539.1668985058749,137.4,44.35763744835831,576.4,205.4129715691998,8367.5,520.8747450203359,65.8,31.18332887938682,391.6,119.50099953091978,8974.3,302.6828373066435,60.3,24.39968123653349,258.8,54.18445861642945,9383.2,135.45216457808598,41.3,11.681419244062578,176.2,32.89647059758505,9599.6,68.00196075604487,30.9,4.724639903973871,11
1439.7,306.67067026372115,6438.2,628.8408737068897,207.1,65.71563318149224,749.2,253.966226976038,8001.8,604.6300613690252,102.6,44.9449045437238,495.0,147.77761069330572,8752.6,358.04133839544284,86.5,33.629517457799544,309.9,69.43494157202922,9273.3,156.85524111953248,59.1,15.814550262337528,202.7,39.5166631519751,9522.1,74.59885313387123,44.5,6.900080514828151,12
1764.7,332.9591399689891,5806.4,662.7657873554494,300.8,86.18043088002443,938.1,293.10841755985865,7613.4,674.4151705160717,151.5,63.99696173343787,607.1,182.55681003153205,8488.6,429.72683830028063,117.1,42.88602465968501,364.0,81.54480704223633,9153.8,173.63806546312873,83.4,19.844954578487254,236.7,45.828302754229654,9449.4,94.10301683675065,58.6,10.394442959795605,13
2090.7,353.31448062911636,5158.4,722.3343639432734,423.6,116.38938477751692,1158.5,348.67630643143315,7176.7,781.7341193355534,213.1,85.33652337787274,736.5,214.4223506177573,8240.9,491.5895871783924,157.3,56.31074497820109,420.2,95.92798224594208,9041.7,199.73763346505893,110.0,23.949019928914744,273.0,49.14377998395231,9367.1,113.40825954635461,78.9,13.819872969347038,14
2429.8,371.148308182412,4553.3,767.210828622456,574.6,145.29296075324655,1392.5,406.02743475998983,6687.9,956.5876215892498,290.2,105.61649702790018,863.1,245.37610587286883,7981.0,554.9342303372536,211.0,72.7644601894817,477.8,106.94733906616533,8912.7,215.61078616597806,140.7,29.6124973617559,318.2,61.811182016057764,9289.5,127.21132898536287,95.9,15.737075826072504,15
2773.0,402.17022377208497,3918.5,769.0005418290245,753.1,177.67226382678118,1637.9,480.3569159142675,6189.1,1106.3921798148954,390.2,133.60289418022847,997.3,286.31414371087027,7735.6,631.6052212858564,273.8,91.91759594574067,539.4,110.72207448281385,8775.0,257.414063329881,177.7,38.82167206886152,360.0,65.28910067282798,9204.2,126.56732946889923,119.1,18.782083661475546,16
3092.3,406.56010899032174,3295.4,747.3431756711384,969.9,208.15669845361958,1906.0,567.54363513106,5671.5,1277.3350948143734,510.6,166.00414988119357,1130.9,319.66004511737844,7473.5,739.6857065297696,350.5,113.80612168654784,602.6,127.44689525881401,8607.8,290.6264498171723,220.1,46.25400883527106,396.0,69.10539454742701,9107.2,148.14992406342975,148.2,25.31929435562268,17
3389.6,415.8883931483969,2712.8,747.8200615418419,1219.5,239.92603026766395,2174.4,665.646920087686,5167.6,1421.2494659434158,657.7,199.8399637487735,1268.6,372.1174247166851,7175.5,813.8868676501257,438.8,134.76547530184922,675.5,145.6008623295587,8456.0,300.2176987898393,270.1,55.424523252598014,438.1,78.01773302696424,9019.8,163.61051310964098,179.3,29.39406591662867,18
3673.2,409.3473938953183,2144.9,712.9512138522056,1512.2,264.13414100499097,2424.9,741.703212582739,4683.2,1552.9560915306724,828.6,235.10858011660153,1400.8,417.0826723271485,6869.2,900.9602038319389,541.8,160.05540707309245,742.9,158.9132887248053,8312.0,325.5600303067521,327.7,64.33946430198705,480.4,86.90249964439714,8922.4,180.63542165244212,217.4,36.0438005148674,19
3915.6,396.8834701633326,1598.2,644.8844513209755,1842.3,296.66780898656475,2657.0,827.3975263841841,4211.5,1681.907597541157,1028.5,285.16671537112387,1535.6,455.06170521760623,6555.4,958.55611323606,662.7,195.57553243923147,813.8,167.03346304791077,8152.5,359.20413570992065,389.9,79.98534588007703,523.1,93.07637246428929,8809.6,203.98322371105806,261.8,41.49912984362175,20
4120.4,384.4052260021679,1138.6,581.9704459850174,2199.5,320.9843367587341,2870.0,894.1491299926801,3777.0,1759.4574921454246,1262.2,351.7880675128769,1663.5,487.3240423190941,6251.9,1009.3863317217381,798.2,229.8157716278169,876.1,179.92927622942423,7973.9,406.65039584936403,465.2,88.34503067204429,565.6,107.84577465580703,8685.0,229.61707253599414,306.9,47.850345406857365,21
4301.3,333.31701626729665,769.2,522.0099615907727,2569.6,354.3119153137999,3075.6,949.6745875415548,3352.5,1806.0577848513658,1509.4,415.57061172962335,1797.1,525.216875839559,5938.9,1055.5692987409423,939.8,259.60174627044915,946.3,194.1042388912606,7810.8,444.29714781388765,541.3,102.87106277061376,609.1,116.93440706462557,8578.1,255.9624321393018,357.4,54.56942570911134,22
4397.9,287.2812984592705,503.1,438.70958503319713,2974.5,389.73359847179944,3232.4,960.9925655857651,2969.6,1806.5476713579658,1794.2,491.5322528131349,1923.8,546.1851131052344,5623.6,1080.0462130030467,1103.7,297.54628024710524,1019.6,206.142992442948,7641.8,467.80261744553,624.6,116.48957988688181,652.5,127.81431844672177,8466.0,281.42218186284543,410.7,65.37422189891738,23
4425.4,239.89358752024478,327.9,355.8518574413297,3401.6,411.58290645857596,3351.5,957.981819590887,2600.1,1773.4453880637107,2097.9,566.9886242245077,2035.2,557.2230353378359,5326.1,1135.5511094716178,1274.1,346.76423306525334,1081.3,226.25258746218424,7464.4,481.9101345456202,717.0,133.59807051168232,690.0,141.40171301806936,8346.4,325.02211890543356,470.1,76.58321545148708,24
