av_infections_4,sd_infections_4,av_susceptible_4,sd_susceptible_4,av_recovered_4,sd_recovered_4,av_infections_15,sd_infections_15,av_susceptible_15,sd_susceptible_15,av_recovered_15,sd_recovered_15,time
958.3,261.43580048986746,1.6,1.1737877907772674,8892.6,262.2938132027602,1468.8,334.8634215782774,3696.4,1055.2370139241496,2169.7,569.4707191770267,39
837.0,225.4171441769434,1.6,1.1737877907772674,9012.4,222.15320039208174,1494.3,335.0137808110785,3535.3,1071.3673558173737,2311.2,605.0474361568686,40
731.2,198.93371313636666,1.6,1.1737877907772674,9116.7,193.83902255909842,1509.1,324.6479974098442,3356.3,1059.3129901549926,2461.5,642.1422912581154,41
635.9,175.07423822164384,1.6,1.1737877907772674,9210.7,168.7635097472858,1528.7,318.44798982286295,3184.0,1069.8453678504716,2603.1,675.7321050370316,42
545.5,158.0022854968314,1.6,1.1737877907772674,9300.2,152.2839453126954,1537.1,315.392330633169,3019.9,1059.0251754430685,2762.7,700.9664835861349,43
468.5,142.61622940215776,1.6,1.1737877907772674,9376.4,137.6187971656973,1537.4,296.43331646613393,2872.1,1058.2500702155,2919.1,732.9225288755513,44
401.6,123.58550796018835,1.6,1.1737877907772674,9442.3,119.13675615303056,1551.8,268.89684102107094,2706.3,1042.747764322705,3067.3,760.852745279926,45
341.0,107.44197400354192,1.6,1.1737877907772674,9501.9,103.3940144409831,1546.4,249.17249714471566,2534.4,1016.8538844014031,3223.4,787.3881155087652,46
287.4,100.46138008652325,1.6,1.1737877907772674,9554.6,97.2741829401135,1556.1,220.64775850511904,2371.6,986.0186160063669,3377.9,818.1142884028422,47
237.2,90.82681933829407,1.6,1.1737877907772674,9604.0,88.10347451844463,1560.1,182.5519408582421,2211.0,935.8643064034444,3541.8,849.1882136618608,48
194.5,79.93643307862399,1.6,1.1737877907772674,9646.2,77.28849274705202,1558.6,156.32459108463317,2064.9,899.1174005656881,3704.2,871.976783584925,49
162.4,68.41085034148051,1.6,1.1737877907772674,9677.9,65.56667513980626,1560.8,137.81130416462778,1925.1,886.2918317975807,3868.5,884.0087040798235,50
133.3,59.43633381844626,1.6,1.1737877907772674,9706.8,56.59564176389086,1541.1,121.48657904842365,1792.0,866.8334454912444,4035.9,893.7500831390792,51
107.3,54.19112268423471,1.6,1.1737877907772674,9732.5,52.15415185347717,1535.6,110.92359732917268,1662.7,836.7780868705075,4187.4,911.3411606589001,52
86.1,47.61057305543241,1.6,1.1737877907772674,9753.6,45.64403332066282,1525.0,103.91342550411858,1528.1,785.9794243843509,4341.9,919.9457049195893,53
70.4,40.00333319445602,1.6,1.1737877907772674,9769.3,37.99137328979363,1510.6,105.29978368659854,1405.6,746.7544888828368,4503.3,922.7494001924658,54
57.8,33.9699213357281,1.6,1.1737877907772674,9781.9,32.15396986031084,1495.6,119.74714100043381,1255.1,691.4301523332314,4668.1,920.4258012222145,55
45.9,26.501362648403994,1.6,1.1737877907772674,9793.8,25.02354446871541,1483.3,142.59737413820463,1109.5,635.9869408163103,4820.4,918.9993592066439,56
36.1,21.506846455127828,1.6,1.1737877907772674,9803.6,20.216604836398993,1466.8,171.76003933136226,989.8,592.3699669782202,4977.7,922.0912283138439,57
28.6,16.853618141053406,1.6,1.1737877907772674,9811.1,16.448235298792525,1454.3,198.10157327324114,872.7,545.8699580587955,5128.0,907.4287238614882,58
23.5,14.698828373566226,1.6,1.1737877907772674,9816.2,14.335658726096652,1431.3,231.11231036013638,763.0,498.2790382907954,5283.7,898.6243869876273,59
17.4,11.137524161340547,1.6,1.1737877907772674,9822.3,11.489608831945112,1406.6,260.61900672565434,659.1,446.33730394051634,5433.0,878.6162099827458,60
