av_infections_4,sd_infections_4,av_susceptible_4,sd_susceptible_4,av_recovered_4,sd_recovered_4,av_infections_15,sd_infections_15,av_susceptible_15,sd_susceptible_15,av_recovered_15,sd_recovered_15,time
3963.2,1084.7205272429496,1457.3,1712.5013576636954,724.0,262.15389882026676,470.8,124.52023485718652,7001.1,272.4018477666161,111.1,29.793548891589865,14
4483.3,1079.2088717615738,919.5,1525.7490874248551,1004.5,351.47095660002026,545.9,142.61015235794244,6840.1,309.9334874883104,144.0,37.25288952252936,15
4898.0,998.924644026988,560.7,1240.289307648287,1348.1,444.9165839420539,631.1,166.00431721293677,6679.0,357.54129520627095,181.6,47.07488124726864,16
5149.7,873.1982147383388,368.2,976.8116843418013,1751.1,545.0144646398539,702.8,195.32184266543825,6513.0,421.72371155638007,233.5,57.93530875036397,17
5264.3,676.5477810177193,253.2,749.5995671764433,2208.9,644.8173643236768,782.9,214.23634404813558,6341.9,488.8156775990994,288.3,70.38631495776245,18
5252.6,478.3281532820562,157.6,485.76542121114846,2704.7,749.2348763905748,855.7,242.46697369607543,6150.8,546.7548302890834,357.8,87.29490248576947,19
5109.8,282.1728390740525,84.2,262.06564063226597,3251.6,837.60998614444,947.1,265.55830077614047,5950.7,612.5803439368406,431.8,107.64220568366501,20
4907.4,206.83498522037104,39.4,124.24277309633213,3778.9,902.3021728396265,1032.2,288.51913088890467,5764.3,657.0193722833108,511.3,134.4883720706821,21
4626.7,295.75780256449326,15.2,48.06662043455937,4318.6,939.9872575968487,1113.9,315.98890627502874,5566.7,721.748963744782,602.1,158.31084050759827,22
4309.9,421.91269502377173,4.2,13.281566172707192,4848.5,959.2368784032903,1185.5,340.49090377799456,5375.1,766.5245447979979,704.8,185.60340035199306,23
3965.2,527.2114903485655,0.4,1.2649110640673518,5364.3,957.5206467167634,1261.4,366.0616827196689,5187.9,811.0224616700411,810.6,213.8962365260315,24
3625.3,599.4962792952838,0.3,0.9486832980505139,5843.2,932.0988025835984,1321.3,381.7340697396553,4977.7,853.4671835128362,930.2,246.72692957554875,25
3288.6,638.2357975962593,0.2,0.6324555320336759,6289.5,902.3154474277089,1384.8,396.017620258942,4787.3,907.3106842629916,1049.8,282.37673810394193,26
2947.2,628.9274467959983,0.2,0.6324555320336759,6712.3,833.6247557104656,1438.6,408.06949299244496,4584.1,946.4824292552339,1183.0,317.0481912194983,27
2642.1,620.6651360525344,0.2,0.6324555320336759,7082.6,777.9523264456648,1492.0,415.07429053925597,4381.9,987.1345118292868,1320.5,358.81572181583994,28
2352.3,582.2527229076162,0.2,0.6324555320336759,7419.5,701.6754947979871,1539.0,418.1993145219952,4188.1,1015.1688912578919,1465.8,404.09289361069773,29
2087.3,538.5721967490628,0.2,0.6324555320336759,7717.0,631.7204022878054,1589.4,433.7793089681536,3981.2,1036.1194482834067,1616.3,442.09050104148486,30
1830.4,495.5668359453535,0.2,0.6324555320336759,7996.0,562.0933097706188,1620.7,430.9135128486406,3775.9,1065.504517952776,1776.5,484.1341067651951,31
1606.0,442.3377291919226,0.2,0.6324555320336759,8235.2,489.5793659413717,1658.8,423.5990766960874,3565.7,1081.7832037890032,1938.9,527.1328000503183,32
1413.2,402.05411465511844,0.2,0.6324555320336759,8435.8,431.336888187309,1701.7,407.2113974611004,3371.5,1105.917844045288,2103.4,567.135727435094,33
1238.1,356.3850757568591,0.2,0.6324555320336759,8612.9,376.4567113966167,1733.7,388.3005851713907,3163.4,1106.5478048617892,2268.0,614.215669686869,34
1086.1,323.0797803088959,0.2,0.6324555320336759,8766.5,334.8977455881123,1751.2,373.07723358873324,2949.8,1106.6181515470155,2442.0,658.3702099376409,35
950.8,288.0905721778791,0.2,0.6324555320336759,8901.3,294.1530402887434,1778.3,350.8307759210034,2756.6,1100.381570183725,2613.9,702.95557785997,36
828.5,251.54732269605964,0.2,0.6324555320336759,9023.2,252.75011814482346,1797.8,317.5810657664171,2562.0,1087.5279817600608,2792.9,746.495880765594,37
716.6,223.805073917262,0.2,0.6324555320336759,9135.0,221.55410676000167,1812.2,293.9651528856968,2393.3,1077.2520647977942,2979.4,779.9373479111426,38
619.2,193.34873501870484,0.2,0.6324555320336759,9230.5,191.20974521887388,1827.2,262.9790021190961,2222.9,1064.4187198236937,3161.2,813.7964255403327,39
533.4,168.35953591446292,0.2,0.6324555320336759,9314.8,166.2566957715956,1831.5,222.67128238728944,2045.8,1037.6234384399766,3348.1,850.8158764124912,40
