time,av_infections,sd_infections,av_susceptible,sd_susceptible,av_recovered,sd_recovered,av_dead,sd_dead,av_total_infected,sd_total_infected,time
42.0,956.4,441.79613196838,100.5,91.45156580884162,8794.9,504.1248632806933,119.3,22.915545427116115,9870.6,114.59028463763119,42
43.0,839.3,396.9248599476285,99.4,90.99108625452153,8916.7,454.03329540170654,122.0,22.2560853101648,9878.0,108.90566764151646,43
44.0,729.8,354.62242831872135,98.4,90.02370058305016,9029.1,405.6639139868262,124.4,21.474532720307458,9883.3,105.16975695406819,44
45.0,637.1,315.5293435905236,96.9,89.03863081706601,9125.3,362.9570069428181,126.1,20.856387244412414,9888.5,100.91718276774168,45
46.0,554.3,286.39601564577987,96.0,87.76990119372105,9210.9,329.74752968495966,128.0,19.988885800753266,9893.2,97.08964929383565,46
47.0,480.0,253.23594619335628,94.6,86.50266534108131,9286.5,295.9362731700489,129.6,19.027465528662624,9896.1,94.04425672108968,47
48.0,416.4,224.1627385033769,94.1,86.22509302208185,9350.6,268.50830734096684,130.9,18.254071083216232,9897.9,92.17308597295514,48
49.0,360.2,197.56844102459507,93.2,85.31484174645243,9407.5,242.6035861235361,132.4,17.32820436937038,9900.1,90.0005555538409,49
50.0,309.9,177.3599290833317,93.0,85.25256594378845,9459.4,222.92659479448986,133.1,16.736188335460376,9902.4,88.82467124747618,50
51.0,263.5,159.608026810127,92.2,85.20276469171122,9506.3,204.09967608445092,134.1,16.795832816505406,9903.9,87.22697085445789,51
52.0,220.6,140.31884327408693,90.4,84.88711458296966,9549.3,186.11289883055153,135.0,16.6332999331662,9904.9,86.59798560654347,52
53.0,185.1,123.21746809784902,90.3,84.63129182256144,9584.4,172.00723498995293,136.0,16.193277068654826,9905.5,86.4281975592071,53
54.0,154.9,108.11973815070854,90.1,84.70792957765721,9615.3,158.07315465385707,136.5,15.883254634292614,9906.7,86.30314787615416,54
55.0,130.6,96.16444249305458,89.4,84.90151156879757,9640.2,146.28875554874338,136.9,15.559562975867927,9907.7,85.44400375554609,55
56.0,108.8,79.95109616370358,89.2,84.62571187949388,9662.1,133.1877955703483,137.3,15.202704437771004,9908.2,85.54894635366483,56
57.0,92.2,67.72624634840207,89.2,84.62571187949388,9678.9,123.10469798779683,137.7,15.107393333508375,9908.8,85.15580491728741,57
58.0,79.5,60.96492616433011,89.1,84.62919118129395,9691.6,116.88189670679448,138.0,15.025903559446194,9909.1,84.9410906975469,58
59.0,64.9,50.264743552956126,89.1,84.62919118129395,9706.5,109.21360314132627,138.3,14.937276265177069,9909.7,85.01117573589956,59
60.0,53.9,40.78793394566039,89.0,84.67454031630628,9717.8,102.9323402370055,138.4,14.923508672933155,9910.1,84.51751955133983,60
61.0,42.6,35.40621414384769,89.0,84.67454031630628,9729.1,99.12332386140677,138.6,14.766328062333047,9910.3,84.49990138061304,61
62.0,35.1,30.592119537190914,88.9,84.65544545062914,9736.6,95.97244975049408,138.6,14.766328062333047,9910.3,84.49990138061304,62
63.0,28.9,25.714025571876352,88.9,84.65544545062914,9742.8,93.01349961758837,138.7,14.697316459514338,9910.4,84.54085140070187,63
64.0,22.1,19.110497406166882,88.8,84.39957872459368,9749.7,88.40695045576952,138.8,14.634813896246778,9910.6,84.50009861927184,64
65.0,17.4,16.132782359737785,88.8,84.39957872459368,9754.4,86.13452011566301,138.9,14.715449175762336,9910.7,84.48149041193709,65
66.0,12.2,11.48719093406023,88.8,84.39957872459368,9759.6,83.21618432332338,138.9,14.715449175762336,9910.7,84.48149041193709,66
67.0,10.4,10.09069978852915,88.8,84.39957872459368,9761.6,81.54099173626312,138.9,14.715449175762336,9910.9,84.56614767939553,67
68.0,8.3,8.393780766469634,88.8,84.39957872459368,9763.9,79.52560733639336,138.9,14.715449175762336,9911.1,84.65544545062913,68
69.0,6.8,6.941021378570864,88.8,84.39957872459368,9765.4,79.28878300939617,138.9,14.715449175762336,9911.1,84.65544545062913,69
70.0,5.4,5.94792213951879,88.8,84.39957872459368,9766.8,78.28835588174442,138.9,14.715449175762336,9911.1,84.65544545062913,70
71.0,4.4,4.948624949305503,88.8,84.39957872459368,9767.8,77.28417978114567,138.9,14.715449175762336,9911.1,84.65544545062913,71
72.0,2.7,3.6832956257496723,88.8,84.39957872459368,9769.5,77.34518587331584,138.9,14.715449175762336,9911.1,84.65544545062913,72
73.0,2.1,2.726414006223804,88.8,84.39957872459368,9770.1,76.79764174620063,138.9,14.715449175762336,9911.1,84.65544545062913,73
74.0,1.6,1.897366596101028,88.8,84.39957872459368,9770.6,76.52915203444444,138.9,14.715449175762336,9911.1,84.65544545062913,74
75.0,1.2,1.2292725943057183,88.8,84.39957872459368,9771.0,76.2204405363519,138.9,14.715449175762336,9911.1,84.65544545062913,75
76.0,1.2,1.2292725943057183,88.8,84.39957872459368,9771.1,75.95239737274042,138.9,14.715449175762336,9911.2,84.3995787245937,76
77.0,1.0,0.9428090415820634,88.8,84.39957872459368,9771.3,76.00153507221634,138.9,14.715449175762336,9911.2,84.3995787245937,77
78.0,0.7,0.8232726023485646,88.8,84.39957872459368,9771.6,75.99444424137566,138.9,14.715449175762336,9911.2,84.3995787245937,78
79.0,0.6,0.699205898780101,88.8,84.39957872459368,9771.7,76.00007309938003,138.9,14.715449175762336,9911.2,84.3995787245937,79
80.0,0.4,0.6992058987801011,88.8,84.39957872459368,9771.9,75.95971154353983,138.9,14.715449175762336,9911.2,84.3995787245937,80
81.0,0.4,0.6992058987801011,88.8,84.39957872459368,9771.9,75.95971154353983,138.9,14.715449175762336,9911.2,84.3995787245937,81
82.0,0.3,0.48304589153964794,88.7,84.1441223932684,9772.0,76.02046508086563,138.9,14.715449175762336,9911.2,84.3995787245937,82
83.0,0.4,0.6992058987801011,88.7,84.1441223932684,9772.0,76.02046508086563,138.9,14.715449175762336,9911.3,84.14412239326839,83
84.0,0.4,0.6992058987801011,88.7,84.1441223932684,9772.0,76.02046508086563,138.9,14.715449175762336,9911.3,84.14412239326839,84
85.0,0.4,0.6992058987801011,88.7,84.1441223932684,9772.0,76.02046508086563,138.9,14.715449175762336,9911.3,84.14412239326839,85
86.0,0.4,0.6992058987801011,88.7,84.1441223932684,9772.0,76.02046508086563,138.9,14.715449175762336,9911.3,84.14412239326839,86
87.0,0.4,0.6992058987801011,88.7,84.1441223932684,9772.0,76.02046508086563,138.9,14.715449175762336,9911.3,84.14412239326839,87
88.0,0.3,0.6749485577105528,88.7,84.1441223932684,9772.1,76.01089103250636,138.9,14.715449175762336,9911.3,84.14412239326839,88
89.0,0.2,0.6324555320336759,88.7,84.1441223932684,9772.2,76.07277217682203,138.9,14.715449175762336,9911.3,84.14412239326839,89
90.0,0.1,0.31622776601683794,88.7,84.1441223932684,9772.3,75.80391370723105,138.9,14.715449175762336,9911.3,84.14412239326839,90
91.0,0.1,0.31622776601683794,88.7,84.1441223932684,9772.3,75.80391370723105,138.9,14.715449175762336,9911.3,84.14412239326839,91
92.0,0.1,0.31622776601683794,88.7,84.1441223932684,9772.3,75.80391370723105,138.9,14.715449175762336,9911.3,84.14412239326839,92
93.0,0.1,0.31622776601683794,88.7,84.1441223932684,9772.3,75.80391370723105,138.9,14.715449175762336,9911.3,84.14412239326839,93
94.0,0.1,0.31622776601683794,88.7,84.1441223932684,9772.3,75.80391370723105,138.9,14.715449175762336,9911.3,84.14412239326839,94
95.0,0.1,0.31622776601683794,88.7,84.1441223932684,9772.3,75.80391370723105,138.9,14.715449175762336,9911.3,84.14412239326839,95
96.0,0.1,0.31622776601683794,88.7,84.1441223932684,9772.3,75.80391370723105,138.9,14.715449175762336,9911.3,84.14412239326839,96
97.0,0.1,0.31622776601683794,88.7,84.1441223932684,9772.3,75.80391370723105,138.9,14.715449175762336,9911.3,84.14412239326839,97
98.0,0.1,0.31622776601683794,88.7,84.1441223932684,9772.3,75.80391370723105,138.9,14.715449175762336,9911.3,84.14412239326839,98
99.0,0.1,0.31622776601683794,88.7,84.1441223932684,9772.3,75.80391370723105,138.9,14.715449175762336,9911.3,84.14412239326839,99
100.0,0.1,0.31622776601683794,88.7,84.1441223932684,9772.3,75.80391370723105,138.9,14.715449175762336,9911.3,84.14412239326839,100
101.0,0.0,0.0,88.7,84.1441223932684,9772.4,75.53542215411257,138.9,14.715449175762336,9911.3,84.14412239326839,101
102.0,0.0,0.0,88.7,84.1441223932684,9772.4,75.53542215411257,138.9,14.715449175762336,9911.3,84.14412239326839,102
103.0,0.0,0.0,88.7,84.1441223932684,9772.4,75.53542215411257,138.9,14.715449175762336,9911.3,84.14412239326839,103
104.0,0.0,0.0,88.7,84.1441223932684,9772.4,75.53542215411257,138.9,14.715449175762336,9911.3,84.14412239326839,104
105.0,0.0,0.0,88.7,84.1441223932684,9772.4,75.53542215411257,138.9,14.715449175762336,9911.3,84.14412239326839,105
106.0,0.0,0.0,88.7,84.1441223932684,9772.4,75.53542215411257,138.9,14.715449175762336,9911.3,84.14412239326839,106
107.0,0.0,0.0,88.7,84.1441223932684,9772.4,75.53542215411257,138.9,14.715449175762336,9911.3,84.14412239326839,107
108.0,0.0,0.0,88.7,84.1441223932684,9772.4,75.53542215411257,138.9,14.715449175762336,9911.3,84.14412239326839,108
109.0,0.0,0.0,88.7,84.1441223932684,9772.4,75.53542215411257,138.9,14.715449175762336,9911.3,84.14412239326839,109
110.0,0.0,0.0,88.7,84.1441223932684,9772.4,75.53542215411257,138.9,14.715449175762336,9911.3,84.14412239326839,110
111.0,0.0,0.0,88.7,84.1441223932684,9772.4,75.53542215411257,138.9,14.715449175762336,9911.3,84.14412239326839,111
112.0,0.0,0.0,88.7,84.1441223932684,9772.4,75.53542215411257,138.9,14.715449175762336,9911.3,84.14412239326839,112
113.0,0.0,0.0,88.7,84.1441223932684,9772.4,75.53542215411257,138.9,14.715449175762336,9911.3,84.14412239326839,113
114.0,0.0,0.0,88.7,84.1441223932684,9772.4,75.53542215411257,138.9,14.715449175762336,9911.3,84.14412239326839,114
115.0,0.0,0.0,88.7,84.1441223932684,9772.4,75.53542215411257,138.9,14.715449175762336,9911.3,84.14412239326839,115
116.0,0.0,0.0,88.7,84.1441223932684,9772.4,75.53542215411257,138.9,14.715449175762336,9911.3,84.14412239326839,116
117.0,0.0,0.0,88.7,84.1441223932684,9772.4,75.53542215411257,138.9,14.715449175762336,9911.3,84.14412239326839,117
118.0,0.0,0.0,88.7,84.1441223932684,9772.4,75.53542215411257,138.9,14.715449175762336,9911.3,84.14412239326839,118
119.0,0.0,0.0,88.7,84.1441223932684,9772.4,75.53542215411257,138.9,14.715449175762336,9911.3,84.14412239326839,119
120.0,0.0,0.0,88.7,84.1441223932684,9772.4,75.53542215411257,138.9,14.715449175762336,9911.3,84.14412239326839,120
