time,av_infections,sd_infections,av_susceptible,sd_susceptible,av_recovered,sd_recovered,av_dead,sd_dead,av_total_infected,sd_total_infected,time
42.0,1045.3,400.35069348981744,204.4,159.87092015470202,8588.4,512.0208763105053,113.2,14.695426348206286,9746.9,180.97909639881985,42
43.0,921.7,367.22988561511283,199.6,157.16742665068992,8723.2,466.5130223262798,116.1,16.03780256491241,9761.0,173.3096137616786,43
44.0,816.8,333.2295838540683,198.5,156.56255405854023,8835.5,424.7460025317091,119.2,16.136914203155445,9771.5,169.37089478419838,44
45.0,715.5,302.6050781684493,195.8,156.30582558276933,8942.1,391.2829183879897,121.2,15.396969398770223,9778.8,165.52931932305995,45
46.0,634.4,276.024234040741,195.0,156.17084661784136,9029.6,361.0349936871309,123.2,15.411395495253215,9787.2,161.7074175444308,46
47.0,555.8,251.9311193340134,193.8,156.3491818548043,9110.1,340.4433220898239,126.4,15.392638933377647,9792.3,159.4846213415088,47
48.0,484.6,224.56486318606875,192.8,155.74965667877268,9183.9,313.93256529954897,127.9,14.984807120695429,9796.4,159.23511617172332,48
49.0,415.6,197.02351805474052,191.8,154.3097894208631,9254.2,289.14041187246346,129.1,15.058773743790251,9798.9,158.68728857585145,49
50.0,358.4,174.2445280505404,190.8,155.19435843125513,9313.0,272.40207210828794,130.4,15.159888595310397,9801.8,157.16078108456674,50
51.0,306.8,153.92985415441672,190.6,154.94386080125923,9365.9,253.55141928654672,131.1,15.401659362260649,9803.8,155.8031521575293,51
52.0,260.3,137.78086466076002,190.1,153.82417813132554,9412.5,239.07565050976368,132.5,15.45063824643572,9805.3,154.82036185348633,52
53.0,218.9,122.25151669134145,189.3,153.84050181925434,9454.1,225.80938372392274,133.0,15.070206073943087,9806.0,154.31065348114424,53
54.0,186.5,106.70337909884162,189.0,153.71112878094127,9487.2,213.13730577050822,133.7,15.048440303086416,9807.4,154.16167559488392,54
55.0,156.5,92.93516258362303,188.8,153.47877160484876,9517.8,204.28944607536087,134.1,15.17637052203926,9808.4,153.5188732516118,55
56.0,131.0,77.69884884032138,188.8,153.47877160484876,9544.0,193.91865419408327,134.3,15.513793146029045,9809.3,153.72851250030214,56
57.0,110.2,69.0552114052388,188.6,153.57531630368786,9564.9,189.0305383911405,134.8,15.597720631197653,9809.9,153.63119619544867,57
58.0,89.5,57.88926210159071,188.5,153.62454231014001,9585.3,182.79074253242575,135.2,15.583467022599446,9810.0,153.75810728399188,58
59.0,73.3,49.73273011251689,188.5,153.62454231014001,9601.5,177.6702626277741,135.4,15.699964614255947,9810.2,153.73917306052266,59
60.0,61.0,41.66266647464823,188.4,153.5043973311514,9613.9,175.21126929763648,135.7,16.09727375123571,9810.6,153.66428053100404,60
61.0,50.8,33.86181067548252,188.2,153.3310144752196,9624.3,171.3288261404562,135.9,16.257989488931965,9811.0,153.63087074037057,61
62.0,41.1,28.384072215867047,188.2,153.3310144752196,9633.9,169.2305790597222,136.0,16.254913786982144,9811.0,153.63087074037057,62
63.0,33.5,23.950179771999856,188.2,153.3310144752196,9641.8,167.1451797423758,136.0,16.254913786982144,9811.3,153.44709547955318,63
64.0,26.7,20.374548393086464,188.2,153.3310144752196,9648.5,165.62692346891484,136.1,16.210079169043766,9811.3,153.44709547955318,64
65.0,22.7,17.49317327162545,188.2,153.3310144752196,9652.5,164.5162943635405,136.1,16.210079169043766,9811.3,153.44709547955318,65
66.0,19.4,15.98054372597434,188.2,153.3310144752196,9655.9,163.93254032612862,136.1,16.210079169043766,9811.4,153.57531630368786,66
67.0,14.9,12.792793110011415,188.2,153.3310144752196,9660.6,162.37966484617326,136.1,16.210079169043766,9811.6,153.40157901548616,67
68.0,12.3,11.382735465021872,188.2,153.3310144752196,9663.2,161.41306569722843,136.2,16.171305176488108,9811.7,153.28118678501357,68
69.0,9.8,9.271221901969316,188.2,153.3310144752196,9665.8,160.80132669436117,136.2,16.171305176488108,9811.8,153.33101447521958,69
70.0,7.8,7.728734264634366,188.2,153.3310144752196,9667.7,159.61415281164068,136.3,16.38461337827523,9811.8,153.33101447521958,70
71.0,6.1,6.226288353960702,188.2,153.3310144752196,9669.3,159.1603314620547,136.4,16.351690364539618,9811.8,153.33101447521958,71
72.0,4.8,4.211096452627668,188.2,153.3310144752196,9670.6,158.43133808968759,136.4,16.351690364539618,9811.8,153.33101447521958,72
73.0,4.1,3.4785054261852175,188.2,153.3310144752196,9671.3,157.99370592245475,136.4,16.351690364539618,9811.8,153.33101447521958,73
74.0,3.2,2.2997584414213788,188.2,153.3310144752196,9672.2,158.18680939530535,136.4,16.351690364539618,9811.8,153.33101447521958,74
75.0,2.8,2.0976176963403033,188.2,153.3310144752196,9672.6,157.87561911552748,136.4,16.351690364539618,9811.8,153.33101447521958,75
76.0,2.5,1.9578900207451218,188.2,153.3310144752196,9672.9,158.0178963141693,136.4,16.351690364539618,9811.8,153.33101447521958,76
77.0,2.4,1.837873166945363,188.2,153.3310144752196,9673.0,157.78607176948302,136.4,16.351690364539618,9811.8,153.33101447521958,77
78.0,1.8,1.7511900715418263,188.2,153.3310144752196,9673.6,157.61923176510606,136.4,16.351690364539618,9811.8,153.33101447521958,78
79.0,1.5,1.509230856356236,188.2,153.3310144752196,9673.9,157.5213918453265,136.4,16.351690364539618,9811.8,153.33101447521958,79
80.0,1.2,1.1352924243950933,188.2,153.3310144752196,9674.2,157.52587089110156,136.4,16.351690364539618,9811.8,153.33101447521958,80
81.0,0.8,0.6324555320336759,188.2,153.3310144752196,9674.6,157.42031493919566,136.4,16.351690364539618,9811.8,153.33101447521958,81
82.0,0.8,0.6324555320336759,188.2,153.3310144752196,9674.6,157.42031493919566,136.4,16.351690364539618,9811.8,153.33101447521958,82
83.0,0.5,0.7071067811865476,188.2,153.3310144752196,9674.9,157.1350798941259,136.4,16.351690364539618,9811.8,153.33101447521958,83
84.0,0.4,0.6992058987801011,188.2,153.3310144752196,9675.0,157.13193324224216,136.4,16.351690364539618,9811.8,153.33101447521958,84
85.0,0.4,0.6992058987801011,188.2,153.3310144752196,9675.0,157.13193324224216,136.4,16.351690364539618,9811.8,153.33101447521958,85
86.0,0.2,0.42163702135578396,188.2,153.3310144752196,9675.2,157.40026824768898,136.4,16.351690364539618,9811.8,153.33101447521958,86
87.0,0.1,0.31622776601683794,188.2,153.3310144752196,9675.3,157.3764418343624,136.4,16.351690364539618,9811.8,153.33101447521958,87
88.0,0.1,0.31622776601683794,188.2,153.3310144752196,9675.3,157.3764418343624,136.4,16.351690364539618,9811.8,153.33101447521958,88
89.0,0.0,0.0,188.2,153.3310144752196,9675.4,157.49229258037428,136.4,16.351690364539618,9811.8,153.33101447521958,89
90.0,0.0,0.0,188.2,153.3310144752196,9675.4,157.49229258037428,136.4,16.351690364539618,9811.8,153.33101447521958,90
91.0,0.0,0.0,188.2,153.3310144752196,9675.4,157.49229258037428,136.4,16.351690364539618,9811.8,153.33101447521958,91
92.0,0.0,0.0,188.2,153.3310144752196,9675.4,157.49229258037428,136.4,16.351690364539618,9811.8,153.33101447521958,92
93.0,0.0,0.0,188.2,153.3310144752196,9675.4,157.49229258037428,136.4,16.351690364539618,9811.8,153.33101447521958,93
94.0,0.0,0.0,188.2,153.3310144752196,9675.4,157.49229258037428,136.4,16.351690364539618,9811.8,153.33101447521958,94
