dates,0-10,10-20,20-30,30-40,40-50,50-60,60-70,70-80,80-90
01-22,0.14285714285714285,1.1516294245008947,1.4373437102151803,1.7318302775732177,2.0175445632875033,2.2318302775732177,3.0175445632875033,3.3032588490017893,4.303258752001799
01-23,0.2857142857142857,1.0,1.1428571428571428,1.4373437102151803,1.7230579959294658,1.9373437102151803,2.5802008530723235,2.8659151387866086,3.865915041786618
01-24,0.2857142857142857,1.0,1.1428571428571428,1.1428571428571428,1.4285714285714284,1.6428571428571428,1.8571428571428572,2.142857142857143,3.142857045857152
01-25,0.2857142857142857,1.1428571428571428,1.4285714285714284,1.4285714285714284,1.5714285714285714,1.7857142857142856,1.9285714285714286,2.0,2.0
01-26,0.2857142857142857,1.0,1.1428571428571428,1.1428571428571428,1.2857142857142856,1.5,1.5714285714285714,1.5714285714285714,1.5714285714285714
01-27,0.2857142857142857,1.4285714285714284,1.5714285714285714,1.5714285714285714,1.7142857142857142,1.9285714285714286,2.0,2.0,2.0
01-28,0.07142857142857142,1.0,1.1428571428571428,1.1428571428571428,1.2857142857142856,1.5,1.5714285714285714,1.5714285714285714,1.5714285714285714
01-29,0.07142857142857142,1.0,1.1428571428571428,1.1428571428571428,1.2857142857142856,1.5,1.5714285714285714,1.5714285714285714,1.5714285714285714
01-30,0.07142857142857142,0.7142857142857142,0.8571428571428571,0.8571428571428571,1.0,1.2142857142857142,1.2857142857142856,1.2857142857142856,1.2857142857142856
01-31,0.07142857142857142,0.7142857142857142,0.8571428571428571,0.8571428571428571,1.0,1.2142857142857142,1.2857142857142856,1.2857142857142856,1.2857142857142856
02-01,0.07142857142857142,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.7142857142857142,0.9285714285714286,1.0,1.0,1.0
02-02,0.07142857142857142,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6428571428571428,0.7142857142857142,0.7142857142857142,0.7142857142857142
02-03,0.0,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5,0.5714285714285714,0.5714285714285714,0.5714285714285714
02-04,0.0,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5,0.5714285714285714,0.5714285714285714,0.5714285714285714
02-05,0.0,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5,0.5714285714285714,0.5714285714285714,0.5714285714285714
02-06,0.0,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5,0.5714285714285714,0.5714285714285714,0.5714285714285714
02-07,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.2857142857142857,0.2857142857142857,0.2857142857142857
02-08,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.2857142857142857,0.2857142857142857,0.2857142857142857
02-09,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.2857142857142857,0.2857142857142857,0.2857142857142857
02-10,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.2857142857142857,0.2857142857142857,0.2857142857142857
02-11,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.2857142857142857,0.2857142857142857,0.2857142857142857
02-12,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.14285714285714285
02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
