time,age_group,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead
11.0,7,0,5,9,7,7,0,0,0,11,0
11.0,8,0,6,10,10,10,0,0,0,13,0
11.0,9,0,7,12,12,10,0,0,0,16,0
11.0,10,0,9,14,14,11,1,0,0,17,0
11.0,11,0,10,14,14,12,1,0,0,17,0
11.0,12,0,10,16,16,14,1,0,0,22,0
11.0,13,0,13,18,18,14,1,0,0,22,1
11.0,14,0,14,19,18,14,1,0,0,22,1
11.0,15,0,14,20,19,14,1,0,0,22,1
11.0,16,0,14,20,19,15,1,0,0,23,1
11.0,17,0,17,21,19,15,2,0,0,25,1
12.0,1,0,0,0,3,1,0,0,0,1,0
12.0,2,0,0,2,4,3,0,0,0,6,0
12.0,3,0,2,4,4,3,0,0,0,9,0
12.0,4,0,3,5,4,4,0,0,0,12,0
12.0,5,0,3,6,5,4,0,0,0,14,0
12.0,6,0,3,7,6,5,0,0,0,15,0
12.0,7,0,3,7,8,6,0,0,0,15,0
12.0,8,0,4,7,11,8,0,0,0,19,0
12.0,9,0,5,9,13,8,0,0,0,22,0
12.0,10,0,7,10,15,9,1,0,0,24,0
12.0,11,0,7,11,15,10,1,0,0,24,0
12.0,12,0,7,13,17,11,1,0,0,30,0
12.0,13,0,9,16,19,11,1,0,0,30,1
12.0,14,0,10,17,19,11,1,0,0,30,1
12.0,15,0,10,18,20,11,1,0,0,30,1
12.0,16,0,10,18,20,12,1,0,0,31,1
12.0,17,0,12,19,21,12,2,0,0,33,1
13.0,1,0,0,0,2,1,0,0,0,2,0
13.0,2,0,0,2,2,2,0,0,0,9,0
13.0,3,0,2,4,2,2,0,0,0,12,0
13.0,4,0,3,5,2,2,0,0,0,16,0
13.0,5,0,3,6,3,2,0,0,0,18,0
13.0,6,0,3,7,4,2,0,0,0,20,0
13.0,7,0,3,7,6,3,0,0,0,20,0
13.0,8,0,3,7,9,6,0,0,0,24,0
13.0,9,0,4,9,11,6,0,0,0,27,0
13.0,10,0,6,10,13,7,1,0,0,29,0
13.0,11,0,6,11,13,8,1,0,0,29,0
13.0,12,0,6,13,14,8,1,0,0,37,0
13.0,13,0,7,16,15,8,1,0,0,39,1
13.0,14,0,8,17,15,8,1,0,0,39,1
13.0,15,0,8,18,16,8,1,0,0,39,1
13.0,16,0,8,18,16,9,1,0,0,40,1
13.0,17,0,9,18,16,10,2,0,0,44,1
14.0,1,0,0,0,2,1,0,0,0,2,0
14.0,2,0,0,2,2,1,0,0,0,10,0
14.0,3,0,2,4,2,1,0,0,0,13,0
14.0,4,0,2,5,3,1,0,0,0,17,0
14.0,5,0,2,6,3,1,0,0,0,20,0
